Context	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	One_mer
CAC->G	316	349	328	294	320	360	439	432	358	399	381	328	354	219	195	234	161	259	131	201	119	82	424	A->G
CAC->T	100	107	88	93	101	113	129	130	106	97	98	77	81	57	47	58	47	63	24	61	29	20	129	A->T
CAG->C	156	137	121	115	121	141	201	195	159	178	160	157	151	116	72	87	71	115	47	80	50	42	157	A->C
CAG->G	480	474	411	425	473	443	608	587	528	618	520	418	456	350	233	305	278	371	207	293	147	117	603	A->G
CAG->T	101	89	96	89	119	112	128	155	124	119	120	113	122	52	38	71	44	65	44	42	25	23	153	A->T
CCA->A	189	176	186	186	193	193	212	245	191	207	184	167	173	112	83	120	86	111	56	99	54	45	285	C->A
CCA->G	141	170	111	137	132	154	179	180	184	165	155	119	124	113	72	94	71	89	56	78	33	46	206	C->G
CCA->T	545	547	530	509	476	516	659	719	632	638	615	523	505	380	275	402	290	394	204	323	159	159	785	C->T
CCC->A	187	165	157	149	163	152	184	239	193	187	209	177	141	118	77	107	82	111	73	76	49	44	223	C->A
CCC->G	184	170	165	143	136	151	211	215	219	186	163	146	166	134	80	154	110	107	80	113	49	50	179	C->G
CCC->T	607	545	524	527	514	546	677	729	633	718	690	515	520	445	270	431	354	354	222	407	162	217	842	C->T
CCG->A	49	43	38	40	41	45	66	52	44	59	50	31	46	26	34	37	33	33	22	29	11	19	55	C->A
CCG->G	51	53	29	29	37	45	62	58	48	49	43	46	48	33	23	39	37	30	31	24	11	16	50	C->G
CCG->T	1310	1072	908	825	931	926	1443	1372	1215	1349	1219	1065	916	780	574	917	763	758	596	780	345	424	1350	C->T
CGA->A	830	787	779	705	723	757	1064	991	854	1013	959	798	800	586	396	595	476	554	386	492	240	248	990	C->T
CGA->C	49	38	44	43	38	34	61	51	48	66	49	49	38	36	21	33	26	38	28	30	13	14	46	C->G
CGA->T	31	40	31	41	41	42	49	46	51	46	42	49	38	20	25	29	24	34	17	25	9	13	48	C->A
CGC->A	976	906	786	749	765	839	1164	1157	1004	1112	1007	944	809	565	485	766	630	593	523	595	283	345	1161	C->T
CGC->C	30	35	29	19	26	27	31	38	31	44	36	21	17	24	20	24	22	18	14	18	11	13	36	C->G
CGC->T	74	73	63	53	59	66	97	88	79	90	73	60	55	49	37	51	39	58	47	47	28	30	72	C->A
CTA->A	44	61	60	72	63	56	58	72	72	55	56	68	62	60	31	31	16	54	16	22	20	9	107	A->T
CTA->C	317	292	344	306	327	350	371	429	334	351	361	325	354	208	162	190	134	229	79	141	88	55	443	A->G
CTA->G	72	56	57	87	57	68	73	85	67	57	55	62	62	40	25	38	30	39	15	24	23	13	79	A->C
CTC->A	82	85	81	79	78	80	107	111	104	88	114	74	84	61	41	62	46	63	29	58	30	19	122	A->T
CTC->C	256	281	213	235	211	235	293	298	289	260	270	244	231	158	102	166	126	160	89	126	52	59	302	A->G
CTC->G	75	99	84	75	83	94	123	104	99	88	82	100	82	69	49	66	54	50	28	44	22	34	108	A->C
GAA->C	106	110	115	111	109	98	151	137	136	100	116	103	97	65	40	65	41	85	16	45	23	20	125	A->C
GAA->G	246	229	283	285	283	294	327	327	289	301	277	296	248	187	117	159	107	153	64	141	100	52	373	A->G
GAA->T	76	82	87	99	92	90	104	110	92	93	98	86	102	64	31	45	34	57	18	43	26	15	122	A->T
GAC->C	37	46	47	34	34	45	50	51	42	51	41	40	43	16	25	24	19	29	16	27	10	19	49	A->C
GAC->G	168	159	173	198	181	168	230	244	190	202	197	184	163	112	78	128	85	148	59	91	56	39	299	A->G
GAC->T	90	88	91	83	61	80	115	112	84	91	111	84	91	65	38	53	35	55	22	48	19	14	124	A->T
GCA->A	202	235	229	254	223	224	274	298	221	268	243	217	227	137	96	147	89	155	70	126	66	49	374	C->A
GCA->G	89	108	81	102	85	98	115	135	127	100	119	74	93	66	52	71	56	65	28	51	33	19	132	C->G
GCA->T	498	468	460	441	447	438	594	634	526	545	554	450	463	329	229	311	217	332	149	273	139	123	653	C->T
GCC->A	214	221	184	194	172	192	266	225	208	228	235	205	149	125	88	142	112	155	79	123	63	62	234	C->A
GCC->G	122	107	95	92	84	114	159	146	144	115	127	98	106	87	57	83	66	65	40	61	36	28	115	C->G
GCC->T	561	483	487	510	471	526	642	686	578	633	630	530	464	350	250	387	322	364	225	324	157	166	763	C->T
GGA->A	850	860	823	771	838	911	1111	1068	921	1040	1003	931	863	629	431	611	448	629	300	493	246	227	1319	C->T
GGA->C	126	165	157	177	159	134	210	227	202	174	193	143	143	122	79	144	81	86	58	88	46	31	228	C->G
GGA->T	176	192	194	189	179	171	219	237	212	201	210	170	174	102	82	128	106	125	52	94	57	41	246	C->A
GTA->A	54	56	50	63	59	63	67	84	79	66	78	54	57	46	24	38	21	30	11	18	13	9	81	A->T
GTA->C	305	309	312	359	350	351	404	413	367	346	365	295	360	202	117	190	127	254	81	132	94	57	480	A->G
GTA->G	53	53	41	48	40	50	46	51	57	42	47	53	55	26	25	23	26	29	19	30	15	6	59	A->C
TAA->C	107	126	118	139	127	122	168	145	150	120	111	117	135	79	47	62	38	91	30	39	32	17	163	A->C
TAA->G	349	403	419	420	425	429	504	525	462	424	425	389	470	284	187	215	167	307	96	168	135	52	570	A->G
TAA->T	140	152	157	156	165	167	184	175	179	168	155	148	178	102	66	96	75	100	45	81	40	18	222	A->T
TCA->A	174	159	197	195	204	183	207	223	197	187	214	166	184	127	67	115	63	138	45	80	62	36	281	C->A
TCA->G	153	207	168	167	152	174	273	269	237	198	182	156	184	120	90	125	76	122	60	82	42	38	222	C->G
TCA->T	536	572	606	619	552	575	710	721	681	617	661	598	560	345	247	339	242	425	144	275	147	100	813	C->T
