Context	X1mer	Count	Rate	context_in_genome	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
CAG->C	A->C	23664	1.33681807785981e-09	46920232	1796	1859	1395	1791	1431	1638	1272	1287	1156	1212	1146	985	1019	716	512	684	529	744	401	564	325	301	901
CAG->G	A->G	122246	6.90587655282497e-09	46920232	9522	9546	7391	8615	7314	8770	6851	5808	5527	6279	5399	5132	5068	3790	2657	3414	3126	3620	2750	3076	1584	1830	5177
CAG->T	A->T	20948	1.1833867940757e-09	46920232	1595	1630	1208	1681	1347	1536	1151	1102	985	1100	953	839	947	650	434	511	431	643	345	480	265	256	859
CCA->A	C->A	35112	2.14462133333764e-09	43395955	2610	2734	2207	2829	2240	2641	1850	1807	1618	1770	1724	1478	1585	1071	734	855	604	1012	553	727	428	348	1687
CCA->G	C->G	22290	1.36146074049031e-09	43395955	1619	1750	1394	1690	1398	1540	1286	1180	1086	1157	975	961	905	704	498	651	506	636	403	498	254	266	933
CCA->T	C->T	96064	5.8675354228112e-09	43395955	7256	7444	5895	7410	6119	7297	5166	4998	4533	4879	4370	4036	4273	2841	1874	2468	2044	2833	1512	2275	1242	1116	4183
CCC->A	C->A	30455	2.72750429449487e-09	29596303	2214	2470	1739	2268	1846	2185	1669	1601	1420	1630	1436	1238	1207	973	671	942	676	852	531	754	381	414	1338
CCC->G	C->G	26234	2.34947784146375e-09	29596303	2043	2190	1546	1713	1541	1752	1485	1339	1293	1386	1178	1104	1019	837	620	859	643	758	520	706	287	418	997
CCC->T	C->T	88526	7.92825628548524e-09	29596303	7036	6858	5178	6363	5482	6293	4688	4500	4060	4680	4102	3796	3500	2780	1928	2436	2087	2638	1579	2351	1132	1295	3764
CCG->A	C->A	14143	6.86992549510421e-09	5456747	1085	1043	805	986	802	1019	757	714	649	781	652	613	582	442	321	433	350	449	303	365	193	195	604
CCG->G	C->G	10536	5.117834618993e-09	5456747	813	837	541	704	553	721	591	494	508	568	443	410	440	303	231	357	365	308	312	291	131	222	393
CCG->T	C->T	217513	1.05656374476179e-07	5456747	17308	16941	12265	14401	12976	15004	12311	10536	9901	11842	9789	9369	8550	6656	4729	6503	5953	6338	5141	5900	2913	3607	8580
TCG->T	C->T	148726	8.28946190488289e-08	4755595	11506	11545	8757	10966	9311	10368	8395	7350	6671	8027	6831	6438	6290	4481	3092	4018	3471	4528	2735	3691	1957	2049	6249
TCG->G	C->G	12697	7.07685931217797e-09	4755595	972	1016	769	906	692	883	711	658	586	642	558	529	479	357	305	416	305	353	286	298	166	214	596
TCG->A	C->A	9527	5.31001328401351e-09	4755595	639	746	588	778	556	648	501	456	438	526	469	402	438	278	215	268	176	323	162	202	150	129	439
GCG->T	C->T	185254	1.06058995625488e-07	4629823	14299	14444	10464	12780	11026	12697	10331	9142	8337	9939	8678	8150	7391	5637	3953	5224	4919	5563	4326	4845	2529	2861	7719
GCG->G	C->G	12296	7.03953172515036e-09	4629823	968	921	655	871	681	889	693	604	631	614	516	472	445	373	307	405	300	351	314	316	172	224	574
GCG->A	C->A	15356	8.791399574773e-09	4629823	1187	1180	859	1126	847	1078	842	750	734	922	699	627	607	451	337	459	394	474	318	431	202	246	586
TAG->T	A->T	13056	1.10024293187239e-09	31453274	922	1069	836	1146	892	932	700	704	599	617	604	512	612	368	253	281	212	436	162	242	205	89	663
TAG->G	A->G	68032	5.73312861068798e-09	31453274	5063	5346	4375	5585	4416	5196	3652	3364	3186	3226	3187	2815	3137	2081	1359	1602	1285	2050	947	1449	898	701	3112
TAG->C	A->C	11808	9.95072651619879e-10	31453274	836	919	776	1023	776	894	659	596	573	549	525	505	564	357	228	275	203	379	148	235	163	116	509
GAG->T	A->T	17300	1.16361100528781e-09	39407836	1288	1395	1051	1320	1069	1245	926	899	813	837	790	702	731	543	361	465	396	504	300	362	241	193	869
GAG->G	A->G	58555	3.93845331876461e-09	39407836	4669	4660	3462	4199	3583	4210	3073	2868	2722	3008	2714	2505	2414	1801	1183	1639	1378	1718	1075	1385	770	837	2682
GAG->C	A->C	17105	1.15049515869642e-09	39407836	1337	1298	1020	1290	1066	1270	939	836	785	904	833	718	724	503	351	484	397	493	335	397	199	237	689
GAA->C	A->C	25334	1.39201658075536e-09	48239596	1816	2023	1611	2200	1684	1837	1391	1318	1192	1281	1216	1077	1161	788	474	568	451	733	332	495	334	229	1123
GAA->G	A->G	65903	3.62114426152683e-09	48239596	4896	5195	4087	5400	4268	4997	3551	3286	2914	3329	2970	2873	3055	1973	1315	1611	1326	1955	898	1446	880	654	3024
GAA->T	A->T	15032	8.25956944892818e-10	48239596	1017	1219	961	1294	1039	1162	834	768	732	673	750	614	714	461	316	346	238	478	141	280	215	110	670
GAC->C	A->C	14844	1.76567921901452e-09	22283502	1171	1195	880	1080	886	1069	748	811	708	777	663	600	609	467	356	398	318	430	281	370	182	204	641
GAC->G	A->G	47991	5.70848230933212e-09	22283502	3634	3548	2975	3809	3111	3494	2566	2450	2077	2474	2172	1905	2096	1439	975	1248	1015	1466	825	1137	666	611	2298
GAC->T	A->T	15302	1.82015786912963e-09	22283502	1165	1189	970	1231	972	1096	834	800	727	773	716	657	675	474	292	397	296	474	210	310	184	148	712
GCA->A	C->A	39148	3.05489865719198e-09	33966991	2933	3072	2432	3334	2539	2955	2137	2033	1680	2021	1936	1692	1770	1153	732	913	731	1180	492	764	514	341	1794
GCA->G	C->G	21828	1.70333932484894e-09	33966991	1660	1775	1307	1641	1306	1469	1232	1267	1104	1035	998	901	900	633	511	706	450	624	330	478	279	253	969
GCA->T	C->T	81514	6.36091266839549e-09	33966991	5957	6375	5170	6303	5205	6160	4338	4188	3759	4146	3898	3448	3704	2419	1635	2055	1606	2535	1120	1877	1084	837	3695
GCC->A	C->A	29735	2.976737815552e-09	26477176	2346	2313	1820	2250	1919	2042	1619	1611	1367	1573	1393	1247	1299	860	605	794	676	849	496	764	364	362	1166
GCC->G	C->G	21828	2.18517682992666e-09	26477176	1795	1769	1323	1510	1281	1422	1293	1177	1115	1122	989	879	896	664	496	740	504	567	405	516	285	301	779
GCC->T	C->T	80780	8.08679605650886e-09	26477176	6370	6224	4737	6065	4920	5785	4411	4120	3675	4172	3990	3397	3359	2419	1635	2143	1883	2396	1434	1969	1126	1069	3481
TCC->T	C->T	97045	7.07575410620445e-09	36353375	7470	7820	5903	7485	6267	7092	5173	4763	4327	5016	4592	4243	4266	3043	1920	2379	2042	2848	1475	2251	1229	1039	4402
TCC->G	C->G	27902	2.03439323067975e-09	36353375	1948	2221	1765	1967	1783	1964	1598	1569	1440	1428	1272	1086	1196	912	638	923	578	790	419	576	369	357	1103
TCC->A	C->A	27504	2.00537421749752e-09	36353375	1998	2179	1712	2269	1872	1992	1456	1491	1305	1380	1264	1150	1203	817	564	714	479	818	375	687	328	267	1184
TAC->T	A->T	12782	1.23674437918865e-09	27394487	936	1042	847	1064	863	940	673	677	579	630	585	532	659	379	216	274	204	403	140	243	180	78	638
TAC->G	A->G	66800	6.46334881315927e-09	27394487	4704	5335	4359	5742	4525	4999	3612	3409	3051	3041	3085	2805	3194	2058	1295	1537	1184	2109	804	1405	895	545	3107
TAC->C	A->C	15756	1.5244988607805e-09	27394487	1303	1241	1032	1245	980	1168	871	846	748	720	720	631	716	441	313	394	296	434	213	341	212	143	748
TAA->C	A->C	26905	1.38644541408917e-09	51436869	1884	2182	1772	2436	1813	2047	1388	1406	1318	1267	1308	1201	1369	759	469	556	379	834	270	494	367	177	1209
TAA->G	A->G	78140	4.0266435479252e-09	51436869	5593	6113	5229	6909	5408	5921	4287	4058	3595	3580	3580	3150	4081	2387	1548	1600	1307	2424	858	1547	1029	580	3356
TAA->T	A->T	46394	2.39073586847251e-09	51436869	3438	3625	3045	4004	3070	3343	2451	2375	2107	2267	2025	1989	2319	1371	932	953	915	1426	676	895	648	330	2190
TCA->A	C->A	33310	1.85643523590965e-09	47559703	2369	2592	2109	2963	2302	2509	1824	1689	1545	1607	1622	1352	1621	1002	633	730	558	1014	385	575	416	242	1651
TCA->G	C->G	33591	1.87209594744644e-09	47559703	2232	2698	2140	2657	2073	2380	1969	1886	1872	1589	1567	1394	1414	1037	768	972	591	964	482	662	414	310	1520
TCA->T	C->T	92837	5.17399813858133e-09	47559703	6715	7259	5950	7907	6244	7156	5078	4709	4210	4734	4215	4025	4380	2824	1737	2137	1652	2875	1213	1918	1207	783	3909
