Context	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	One_mer
ACA->G	1957	2501	1854	2230	1904	1770	1601	1769	1643	1276	1286	1208	1314	880	679	871	567	851	454	596	445	293	2295	C->G
ACA->T	8389	9417	7152	9317	8052	7278	6026	6143	5330	5066	5375	4793	4944	3298	2394	2664	2164	3507	1430	2530	1697	1054	8730	C->T
ACC->A	2731	2870	2319	2823	2435	2334	1909	2063	1666	1647	1771	1559	1415	1064	785	969	725	1072	567	847	558	396	2658	C->A
ACC->G	1133	1292	977	1103	1025	917	856	936	949	719	745	613	575	456	412	543	333	400	273	394	233	211	1145	C->G
ACC->T	4806	4961	3714	4591	4045	3818	3221	3371	2812	3029	2811	2621	2511	1950	1389	1732	1415	1827	1016	1568	891	766	4747	C->T
ACG->A	685	745	555	714	595	555	530	525	463	461	403	386	407	288	192	280	212	318	172	240	141	112	640	C->A
ACG->G	583	540	380	517	424	437	380	346	379	313	323	255	260	247	156	218	161	218	145	154	97	98	478	C->G
ACG->T	12314	13729	9484	11819	10816	10224	9124	8891	7461	8329	7493	6961	6607	4840	3586	4482	3853	5000	2694	4132	2419	2169	11084	C->T
ACT->A	1382	1652	1314	1704	1443	1307	1090	1170	1050	873	993	816	812	643	455	525	345	566	247	411	323	187	1657	C->A
ACT->G	1820	2289	1629	2056	1959	1634	1520	1649	1584	1163	1216	1064	1122	783	643	797	472	726	321	500	399	252	2045	C->G
ACT->T	5517	5897	4736	6102	5043	4740	4006	3927	3450	3273	3412	2960	3351	2154	1487	1705	1421	2175	933	1588	1062	597	5441	C->T
AGA->A	6035	6098	4685	6128	5260	4941	4106	4117	3618	3610	3574	3183	3155	2241	1622	1989	1640	2154	1215	1778	1107	795	6222	C->T
AGA->C	2940	3641	2706	3164	2925	2675	2396	2725	2698	1948	2014	1691	1703	1269	1046	1375	798	1166	643	919	609	444	3304	C->G
AGA->T	2520	2761	2274	3001	2534	2315	1930	1946	1679	1481	1632	1510	1516	1004	668	845	637	1056	370	719	552	289	3158	C->A
AGC->A	4932	5097	3900	5005	4275	4077	3416	3437	3087	3034	3056	2712	2564	1918	1345	1623	1310	1886	895	1581	939	700	4782	C->T
AGC->C	1143	1356	999	1135	1041	1008	903	1023	986	770	727	654	598	464	413	621	368	421	264	358	191	202	1102	C->G
AGC->T	1186	1346	1003	1183	1075	986	854	983	782	763	786	677	646	483	377	452	343	445	215	367	237	182	1216	C->A
AGG->A	6636	6669	5084	6441	5506	5267	4603	4696	3880	4103	3936	3576	3528	2513	1798	2448	1859	2528	1438	2158	1331	1116	6683	C->T
AGG->C	1722	1980	1366	1581	1593	1383	1306	1459	1422	1083	1107	932	833	665	621	899	506	672	429	562	300	326	1656	C->G
AGG->T	1346	1437	1154	1470	1276	1113	1050	1017	908	833	869	758	793	560	399	531	415	528	283	451	256	191	1371	C->A
ATA->A	2179	2556	2067	2661	2208	2034	1808	1729	1473	1315	1389	1334	1486	895	585	700	604	962	452	641	481	273	2899	A->T
ATA->C	9676	11941	9166	12145	10227	8862	7527	7516	7052	5685	6517	5591	6701	4162	2743	3001	2361	4330	1396	2604	2175	983	11206	A->G
ATA->G	1247	1474	1160	1556	1359	1213	1040	946	853	756	834	768	877	512	331	419	331	549	174	339	274	150	1624	A->C
ATC->A	1514	1712	1454	1926	1617	1377	1163	1180	1006	941	1019	895	930	663	412	486	389	643	251	477	323	182	1761	A->T
ATC->C	2940	3350	2625	3260	2823	2501	2256	2289	1997	1787	1916	1716	1756	1278	822	1098	740	1206	520	915	605	406	2997	A->G
ATC->G	737	754	548	721	614	544	525	504	465	414	391	391	370	259	195	206	172	261	132	208	132	102	673	A->C
ATG->A	1954	2114	1684	2212	1822	1638	1419	1504	1269	1166	1270	1066	1180	737	539	608	453	757	288	544	419	246	1992	A->T
ATG->C	8608	9833	7396	9147	8130	7433	6480	6427	5823	5409	5373	4820	5295	3432	2629	2931	2275	3636	1474	2561	1787	1126	8247	A->G
ATG->G	1463	1744	1374	1674	1528	1420	1083	1187	1089	997	1031	930	860	689	459	514	366	623	261	484	325	204	1476	A->C
CAA->C	1613	1930	1469	1780	1555	1414	1243	1329	1131	1052	991	927	965	661	522	562	447	673	307	474	345	217	1708	A->C
CAA->G	3380	3623	2830	3437	3015	2828	2369	2305	2192	1972	2006	1820	1997	1371	956	1102	895	1360	622	1013	598	432	3185	A->G
CAA->T	791	867	710	850	756	641	573	555	513	458	479	408	454	321	218	238	210	314	121	226	181	96	830	A->T
CAC->C	1362	1428	1027	1319	1161	1104	991	991	993	924	777	769	731	568	421	654	434	516	378	469	295	262	1264	A->C
CAC->G	3634	4110	2836	3483	3231	3096	2726	2670	2339	2322	2147	2056	2028	1425	1191	1379	1300	1456	904	1200	743	699	3363	A->G
CAC->T	1011	1166	877	1064	897	816	741	779	654	693	581	573	525	389	307	396	334	391	197	369	227	204	985	A->T
CAG->C	1321	1433	1064	1220	1152	1082	959	1019	891	818	822	704	739	524	419	515	399	506	297	415	243	244	1117	A->C
CAG->G	4855	5166	3691	4263	4042	3837	3322	3376	3013	3041	2869	2515	2540	1996	1519	1857	1585	1846	1173	1594	913	903	4221	A->G
CAG->T	1019	1131	803	1069	914	832	729	770	694	633	667	588	531	389	315	369	310	415	242	354	230	186	1018	A->T
CCA->A	1813	1942	1465	1895	1573	1449	1352	1335	1132	1175	1106	938	1022	740	550	661	503	686	360	553	372	287	1950	C->A
CCA->G	1216	1349	992	1234	1057	973	904	1000	918	792	801	654	613	495	415	564	391	477	287	399	269	254	1223	C->G
CCA->T	5167	5415	4054	5056	4515	4264	3697	3748	3206	3223	3169	2792	2794	2038	1625	1956	1545	1944	1110	1743	999	888	4941	C->T
CCC->A	1621	1752	1232	1530	1353	1289	1131	1169	1097	1054	1033	844	745	669	542	723	477	576	387	572	299	315	1580	C->A
CCC->G	1566	1695	1116	1252	1280	1163	1140	1176	1128	980	912	803	767	671	522	725	507	543	429	565	269	344	1261	C->G
CCC->T	5128	5047	3692	4240	4024	3757	3397	3592	3000	3035	2962	2587	2367	1959	1479	2010	1616	1807	1210	1804	932	980	4464	C->T
CCG->A	657	605	410	527	478	408	444	400	366	411	321	302	285	234	202	268	201	226	166	219	128	155	535	C->A
CCG->G	566	605	395	450	398	380	427	401	367	367	319	268	267	237	194	279	223	174	219	181	110	171	401	C->G
CCG->T	11292	10914	7508	8937	8294	8092	7879	7222	6572	7147	6274	5753	4969	4173	3326	4486	4228	3989	3361	3991	2071	2464	8580	C->T
CGA->A	7505	7697	5378	6640	6125	5912	5389	5019	4442	4929	4423	4055	3827	2797	2155	2738	2450	2762	1881	2513	1389	1419	6488	C->T
CGA->C	484	492	389	425	412	391	373	378	312	304	296	251	251	208	175	217	182	175	163	202	88	116	514	C->G
CGA->T	414	471	321	440	420	338	351	346	287	308	265	239	241	192	136	179	136	207	122	163	102	79	426	C->A
CGC->A	9159	9217	6445	7710	7161	7000	6596	6183	5523	5754	5371	4947	4353	3448	2812	3620	3366	3256	2749	3254	1632	1932	7479	C->T
CGC->C	381	440	293	389	308	321	287	290	329	265	228	232	210	213	146	208	157	137	169	151	99	103	329	C->G
CGC->T	777	794	505	711	611	651	559	571	518	512	459	417	398	314	228	309	294	316	235	277	155	198	606	C->A
CTA->A	613	684	550	727	613	544	442	457	419	371	433	324	405	230	147	176	138	241	89	160	118	63	720	A->T
CTA->C	2829	3173	2408	3097	2705	2376	1999	2031	1852	1653	1702	1588	1694	1174	859	932	697	1086	437	746	558	364	2978	A->G
CTA->G	607	656	530	661	567	544	423	428	441	362	387	313	363	234	169	194	158	234	89	171	144	75	622	A->C
CTC->A	890	939	635	835	729	695	570	653	601	503	512	467	428	373	249	373	227	335	185	257	160	161	828	A->T
CTC->C	2527	2672	1950	2397	2057	2029	1816	1774	1622	1580	1456	1361	1265	988	714	992	789	948	680	835	437	486	2285	A->G
CTC->G	890	956	759	825	739	720	637	618	631	591	524	459	498	367	305	382	288	345	222	330	180	169	794	A->C
GAA->C	978	1164	874	1056	975	834	820	763	766	630	649	612	657	438	315	374	257	406	172	279	197	121	1023	A->C
GAA->G	3045	3354	2539	3175	2874	2625	2176	2166	1881	1816	1786	1547	1801	1188	905	1016	807	1136	553	934	553	409	3068	A->G
GAA->T	730	864	612	884	717	658	583	598	506	445	488	427	459	309	253	241	199	298	108	206	176	81	852	A->T
GAC->C	494	550	343	494	416	413	333	377	347	297	285	242	257	203	163	179	140	152	132	149	90	92	451	A->C
GAC->G	1826	2064	1538	1982	1690	1529	1311	1373	1190	1162	1113	1040	994	722	573	675	556	752	409	621	386	300	1998	A->G
GAC->T	779	823	625	800	672	610	517	575	471	458	446	407	412	300	199	259	184	317	150	251	136	103	858	A->T
GCA->A	2150	2358	1753	2376	1948	1797	1572	1645	1311	1350	1367	1183	1187	820	626	728	590	804	381	676	445	273	2275	C->A
GCA->G	930	1108	742	982	876	774	704	795	721	616	581	546	546	382	288	390	281	408	188	289	185	160	886	C->G
GCA->T	3949	4461	3363	4088	3554	3419	2996	3041	2699	2489	2590	2274	2238	1522	1167	1502	1128	1565	774	1350	821	662	3969	C->T
GCC->A	1789	1875	1281	1598	1404	1357	1224	1306	1116	1138	1096	877	831	655	526	697	525	643	400	609	330	325	1610	C->A
GCC->G	1114	1171	820	936	961	823	804	805	749	701	689	579	528	468	390	524	380	371	277	357	218	245	955	C->G
GCC->T	4458	4637	3316	4093	3670	3454	3071	3195	2817	2882	2758	2292	2185	1730	1361	1742	1385	1709	1101	1517	898	830	4162	C->T
GGA->A	4834	4996	3745	4639	4143	3789	3307	3374	2909	2972	2895	2597	2507	1871	1371	1788	1375	1769	974	1550	888	805	4538	C->T
GGA->C	1404	1702	1179	1368	1280	1202	1141	1182	1105	925	883	789	787	608	478	763	440	582	338	483	280	294	1349	C->G
GGA->T	1464	1650	1241	1629	1402	1289	1098	1139	1036	1011	993	800	819	567	426	593	421	641	318	482	323	246	1639	C->A
GTA->A	557	641	490	672	607	503	459	483	403	356	349	338	348	230	151	188	115	266	100	150	133	61	613	A->T
GTA->C	2883	3286	2636	3463	2866	2630	2135	2208	1967	1727	1783	1722	1824	1195	829	892	774	1281	471	871	628	346	3320	A->G
GTA->G	527	613	507	595	514	483	423	430	410	304	316	307	330	248	183	219	136	217	102	154	121	84	604	A->C
TAA->C	1116	1337	1129	1382	1198	1095	892	949	907	742	798	711	786	535	369	368	248	485	171	293	241	122	1247	A->C
TAA->G	3341	4129	3200	4132	3557	3198	2566	2614	2481	2030	2164	1957	2320	1381	983	1017	814	1481	504	952	726	374	3575	A->G
TAA->T	2025	2352	1790	2294	1980	1831	1573	1468	1332	1307	1167	1144	1371	844	558	621	554	864	449	566	429	250	2311	A->T
TCA->A	1748	1940	1566	2097	1690	1512	1296	1300	1210	1071	1124	994	1081	698	495	617	417	787	318	513	365	226	2036	C->A
TCA->G	1515	1849	1418	1707	1559	1344	1236	1288	1380	935	1040	917	901	686	538	726	396	602	304	435	322	232	1594	C->G
TCA->T	4500	4989	3906	4976	4251	3983	3326	3390	2921	2792	2776	2618	2695	1733	1303	1563	1162	1870	878	1319	830	575	4366	C->T
