Context	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	One_mer
CAG->G	5026	5483	4007	4612	4293	3998	3534	3451	2984	3183	3102	2743	2728	2020	1389	1851	1618	2029	1113	1594	864	799	3398	A->G
CAG->T	1017	1160	839	1078	946	870	765	782	624	672	706	592	589	399	287	373	325	435	201	355	183	172	791	A->T
CCA->A	1873	2002	1443	1865	1547	1473	1360	1264	1097	1147	1136	1008	978	697	484	655	458	748	338	553	322	248	1478	C->A
CCA->G	1301	1395	1087	1305	1122	1032	965	1048	929	824	835	701	675	484	405	584	385	501	291	413	206	227	1034	C->G
CCA->T	5696	6041	4561	5430	4979	4651	3984	3973	3326	3573	3439	3186	3107	2165	1655	2053	1653	2171	1155	1884	945	810	4135	C->T
CCC->A	1654	1737	1274	1532	1399	1300	1113	1113	1003	1026	1021	912	720	631	484	678	470	622	366	572	253	307	1212	C->A
CCC->G	1611	1848	1184	1330	1338	1259	1180	1168	1055	1005	956	883	746	621	507	722	510	595	391	598	249	310	990	C->G
CCC->T	5389	5360	3904	4478	4274	4003	3443	3642	2983	3216	3144	2822	2534	1966	1441	1976	1598	1938	1196	1846	824	949	3701	C->T
CCG->A	592	607	361	480	428	389	394	374	287	361	305	320	331	210	148	252	213	230	172	200	100	130	412	C->A
CCG->G	523	498	344	402	364	352	393	350	295	331	306	268	234	221	172	253	211	163	201	165	91	142	288	C->G
CCG->T	11465	11209	7613	8885	8320	8146	7772	7018	6148	7289	6430	6063	5133	4108	3117	4433	4120	4197	3354	3901	1912	2439	6965	C->T
CGA->A	7772	7990	5678	6938	6385	6164	5516	5053	4307	5088	4513	4370	4023	2819	2143	2758	2561	2915	1884	2556	1305	1312	5218	C->T
CGA->C	462	503	334	421	360	390	337	322	275	302	266	260	250	189	159	224	176	192	128	156	74	93	377	C->G
CGA->T	410	459	318	494	353	319	324	334	240	294	235	246	213	167	107	175	147	183	117	141	77	73	320	C->A
CGC->A	9252	9154	6421	7443	7096	6842	6377	5872	5022	5763	5221	4981	4369	3335	2562	3463	3235	3206	2708	3230	1502	1856	5907	C->T
CGC->C	344	390	260	291	233	269	223	232	259	211	218	210	191	137	121	157	145	139	136	135	64	71	246	C->G
CGC->T	742	749	507	681	550	568	479	531	440	507	435	392	387	290	197	287	265	284	225	257	129	193	451	C->A
CTA->A	634	691	516	705	630	549	419	450	388	375	414	333	385	222	139	173	151	257	76	180	103	62	548	A->T
CTA->C	3037	3380	2533	3257	2856	2584	2156	2034	1856	1806	1927	1801	1848	1233	824	955	717	1252	448	798	494	320	2481	A->G
CTA->G	586	662	530	719	602	522	453	450	403	387	382	348	373	260	145	206	143	249	95	196	121	71	465	A->C
CTC->A	805	876	609	774	752	659	542	551	517	510	503	454	447	302	225	312	187	316	181	237	116	122	579	A->T
CTC->C	2384	2659	1914	2286	2111	1903	1653	1661	1407	1512	1527	1367	1302	913	671	848	690	880	510	800	372	395	1701	A->G
CTC->G	914	999	740	866	777	725	696	636	532	557	563	524	493	326	271	361	296	379	196	321	148	136	592	A->C
GAA->C	1039	1240	924	1170	1036	872	810	796	682	678	685	672	694	435	315	334	256	463	144	299	168	109	789	A->C
GAA->G	2805	3180	2437	3126	2693	2524	1996	2055	1633	1714	1823	1571	1738	1141	737	870	695	1152	419	808	455	307	2119	A->G
GAA->T	777	883	651	952	798	703	581	601	508	479	527	477	465	322	240	249	190	332	106	207	143	72	670	A->T
GAC->C	460	502	346	496	410	416	315	321	277	285	319	237	249	187	131	168	125	183	97	145	71	62	326	A->C
GAC->G	1968	2182	1607	2129	1816	1648	1324	1442	1171	1246	1249	1138	1097	750	515	655	543	837	382	669	348	257	1646	A->G
GAC->T	769	888	675	855	746	695	572	633	476	500	479	432	457	293	201	298	183	352	151	258	157	97	710	A->T
GCA->A	2277	2589	1828	2538	2023	1879	1625	1718	1284	1372	1429	1299	1218	859	600	714	557	887	390	714	400	269	1781	C->A
GCA->G	1032	1220	855	1039	897	831	753	804	747	649	595	593	578	425	286	428	314	428	174	302	171	145	723	C->G
GCA->T	4276	4968	3605	4469	3945	3652	3101	3150	2685	2722	2786	2441	2455	1654	1207	1662	1146	1703	826	1416	770	647	3371	C->T
GCC->A	1857	1998	1472	1727	1555	1496	1277	1389	1091	1254	1143	1043	908	667	510	759	571	694	443	655	336	299	1336	C->A
GCC->G	1220	1237	876	1046	957	880	786	826	714	683	687	655	557	470	358	568	388	405	265	377	196	210	744	C->G
GCC->T	4763	5048	3583	4424	4011	3699	3309	3274	2721	3076	3039	2516	2432	1804	1317	1908	1474	1894	1098	1627	787	794	3444	C->T
GGA->A	4936	5270	3895	4832	4270	4097	3335	3434	2903	3041	3045	2773	2648	1891	1334	1733	1448	1890	948	1642	795	749	3553	C->T
GGA->C	1522	1819	1281	1482	1348	1291	1214	1252	1091	965	920	875	814	600	487	799	468	607	338	494	232	272	1050	C->G
GGA->T	1626	1824	1389	1674	1504	1375	1184	1166	1031	1094	1088	944	908	658	432	619	437	663	317	482	269	239	1319	C->A
GTA->A	548	662	539	694	638	524	428	440	358	357	371	312	372	220	152	184	119	292	84	145	97	61	472	A->T
GTA->C	3262	3560	2854	3723	3141	2821	2255	2304	1924	1894	1957	1815	2100	1226	850	912	775	1369	492	892	558	304	2619	A->G
GTA->G	519	612	503	575	505	457	396	411	370	304	289	330	327	240	170	186	115	225	92	135	79	65	447	A->C
TAA->C	1139	1379	1187	1440	1261	1094	908	945	829	736	859	700	780	528	355	358	267	496	161	310	218	95	1023	A->C
TAA->G	3557	4475	3368	4551	3838	3567	2728	2790	2323	2138	2242	2124	2505	1487	989	1065	835	1632	511	989	698	327	2875	A->G
TAA->T	1628	1866	1471	1931	1639	1534	1229	1170	1002	1048	960	964	1142	708	408	451	419	730	278	434	293	174	1326	A->T
TCA->A	1692	1917	1549	2047	1730	1526	1305	1237	1054	1021	1079	1013	1067	650	425	550	387	786	256	492	287	167	1458	C->A
TCA->G	1671	1976	1515	1859	1702	1410	1362	1377	1303	1007	1146	975	975	664	540	736	415	647	324	458	287	228	1317	C->G
TCA->T	4844	5474	4175	5327	4555	4182	3585	3541	3042	3053	3071	2870	3006	1883	1340	1649	1258	2075	892	1405	780	592	3504	C->T
